ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              004                    005                    006                    007                    008                    009                    010                    011                    012                    013                    014                    015                    016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111                    112                    113                    114                    115                    116                    117                    118                    119                    120                    121                    122                    123        
Frame 0451    0001 4cac429a3a0f2e82  0001 0000000000000000  0001 48663ce832a6287e  0001 0000000000000000  0001 4a483e5c3aa42c0a  0001 0000000000000000  0001 4a423c3638ca2866  0001 0000000000000000  0001 4c88421636122ac8  0001 0000000000000000  0001 489c429238162aca  0001 0000000000000000  0001 4ac2407e36522c14  0001 0000000000000000  0001 4aae4078341e2a82  0001 0000000000000000  0001 4e544024385228c2  0001 0000000000000000  0001 4ee63ec6367e2c0c  0001 0000000000000000  0001 4e86423832302a98  0001 0000000000000000  0001 46a24232380e2c5c  0001 0000000000000000  0001 4a683c0e32683001  0001 0000000000000000  0001 4a664256348a2e5a  0001 0000000000000000  0001 4a9e3c803a0d30b4  0001 0000000000000000  0001 4a6a3e3c36322e6a  0001 0000000000000000  0001 4814420836d62838  0001 0000000000000000  0001 4ce43c7a3a5a2a12  0001 0000000000000000  0001 4a483cc0382c2c10  0001 0000000000000000  0001 46c842c036242ce2  0001 0000000000000000  0001 4cd84050364e2ac2  0001 0000000000000000  0001 485c3c9e38342cb6  0001 0000000000000000  0001 46543e443a602a2c  0001 0000000000000000  0001 46c2420736c83060  0001 0000000000000000  0001 4609402a36d428d4  0001 0000000000000000  0001 480d447a3894280f  0001 0000000000000000  0001 4c304480380d2e46  0001 0000000000000000  0001 4e0944c034082c98  0001 0000000000000000  0001 4c74448034b6289e  0001 0000000000000000  0001 46423c26346c2c54  0001 0000000000000000  0001 4e0d429a386c2ed8  0001 0000000000000000  0001 4ce042803a363012  0001 0000000000000000  0001 46844236360730ac  0001 0000000000000000  0001 467a42bc36ec3009  0001 0000000000000000  0001 4ee03c563abc2a6a  0001 0000000000000000  0001 4e4e3c073446309c  0001 0000000000000000  0001 4838428e3a442cdc  0001 0000000000000000  0001 46b84048348e3034  0001 0000000000000000  0001 46bc3c4c38a02c14  0001 0000000000000000  0001 4acc3e28325e2800  0001 0000000000000000  0001 4a9240ae3a5c280b  0001 0000000000000000  0001 46013e0032902a01  0001 0000000000000000  0001 4c0340343ad62840  0001 0000000000000000  0001 460b423a3ae22a22  0001 0000000000000000  0001 48723e14345c2ec0  0001 0000000000000000  0001 46543c7e36c828d2  0001 0000000000000000  0001 4ea8440b3ad82ad2  0001 0000000000000000  0001 48093c0a36362a26  0001 0000000000000000  0001 4a9e3e68343a2e7a  0001 0000000000000000  0001 46523eb632c828ce  0001 0000000000000000  0001 4cbe4230367e2e64  0001 0000000000000000  0001 4698448636b62c04  0001 0000000000000000  0001 4666447638c62e96  0001 0000000000000000  0001 46063c2a3a242ece  0001 0000000000000000  0001 48da3c0d342c2a58  0001 0000000000000000  0001 48323ea032643044  0001 0000000000000000  0001 4a8c407a36ea2a7a  0001 0000000000000000  0001 4c0340603ac428ac  0001 0000000000000000  0001 4eda3e8a346c3048  0001 0000000000000000  0001 4826408632342e5a  0001 0000000000000000
Frame 0452    0001 000000000000500e  0001 0000000000000000  0001 0000000000005298  0001 0000000000000000  0001 0000000000005092  0001 0000000000000000  0001 00000000000058d2  0001 0000000000000000  0001 0000000000005484  0001 0000000000000000  0001 0000000000005812  0001 0000000000000000  0001 0000000000005042  0001 0000000000000000  0001 0000000000005268  0001 0000000000000000  0001 0000000000005844  0001 0000000000000000  0001 00000000000056b0  0001 0000000000000000  0001 00000000000052b6  0001 0000000000000000  0001 0000000000005020  0001 0000000000000000  0001 000000000000586c  0001 0000000000000000  0001 000000000000501a  0001 0000000000000000  0001 0000000000005240  0001 0000000000000000  0001 000000000000587e  0001 0000000000000000  0001 000000000000544a  0001 0000000000000000  0001 0000000000005876  0001 0000000000000000  0001 0000000000005458  0001 0000000000000000  0001 0000000000005005  0001 0000000000000000  0001 0000000000005060  0001 0000000000000000  0001 00000000000054a6  0001 0000000000000000  0001 000000000000546a  0001 0000000000000000  0001 000000000000585e  0001 0000000000000000  0001 00000000000056c0  0001 0000000000000000  0001 0000000000005001  0001 0000000000000000  0001 00000000000056cc  0001 0000000000000000  0001 000000000000561e  0001 0000000000000000  0001 0000000000005460  0001 0000000000000000  0001 00000000000056c2  0001 0000000000000000  0001 0000000000005298  0001 0000000000000000  0001 000000000000524a  0001 0000000000000000  0001 000000000000549c  0001 0000000000000000  0001 0000000000005418  0001 0000000000000000  0001 0000000000005288  0001 0000000000000000  0001 000000000000587e  0001 0000000000000000  0001 000000000000540a  0001 0000000000000000  0001 00000000000058b6  0001 0000000000000000  0001 0000000000005816  0001 0000000000000000  0001 00000000000052ce  0001 0000000000000000  0001 0000000000005272  0001 0000000000000000  0001 0000000000005248  0001 0000000000000000  0001 0000000000005096  0001 0000000000000000  0001 0000000000005407  0001 0000000000000000  0001 0000000000005003  0001 0000000000000000  0001 000000000000581e  0001 0000000000000000  0001 0000000000005486  0001 0000000000000000  0001 0000000000005810  0001 0000000000000000  0001 000000000000564e  0001 0000000000000000  0001 0000000000005878  0001 0000000000000000  0001 000000000000508c  0001 0000000000000000  0001 000000000000588e  0001 0000000000000000  0001 0000000000005228  0001 0000000000000000  0001 0000000000005096  0001 0000000000000000  0001 00000000000056c0  0001 0000000000000000  0001 0000000000005674  0001 0000000000000000  0001 000000000000543e  0001 0000000000000000  0001 000000000000567a  0001 0000000000000000  0001 00000000000050aa  0001 0000000000000000  0001 00000000000056e6  0001 0000000000000000
Frame 0453    0001 48ba367ca0ac8a58  0001 0000000000000000  0001 4e0d4614a0ca8e82  0001 0000000000000000  0001 5ce64262a6128609  0001 0000000000000000  0001 5e7a30b89c098022  0001 0000000000000000  0001 52363e529c208a66  0001 0000000000000000  0001 481c32049a2c88e2  0001 0000000000000000  0001 5048340fa47e968c  0001 0000000000000000  0001 58ba38ee980b8a5c  0001 0000000000000000  0001 56ea30ec9ebe80c6  0001 0000000000000000  0001 581c3ad8a2b29278  0001 0000000000000000  0001 58a23a069a00900d  0001 0000000000000000  0001 4c94460eacbe90b0  0001 0000000000000000  0001 561c4454a0a28a08  0001 0000000000000000  0001 4c2236d69ce29628  0001 0000000000000000  0001 50963cba98629690  0001 0000000000000000  0001 5a803eaca8948672  0001 0000000000000000  0001 547c347ca058805c  0001 0000000000000000  0001 4c0b36869eac94d8  0001 0000000000000000  0001 500b3094a0149010  0001 0000000000000000  0001 4e743c92acee900e  0001 0000000000000000  0001 58e430849cec9298  0001 0000000000000000  0001 5a9a4004ac6a906e  0001 0000000000000000  0001 5880444aa68694ba  0001 0000000000000000  0001 503030cca6688c74  0001 0000000000000000  0001 584434daa29490b4  0001 0000000000000000  0001 5a9c3860aa0e9404  0001 0000000000000000  0001 5e0a340ba2ea8a0b  0001 0000000000000000  0001 5e1e46deae668406  0001 0000000000000000  0001 5894467eae0496a0  0001 0000000000000000  0001 4e7438249e018830  0001 0000000000000000  0001 58bc38daa80482e0  0001 0000000000000000  0001 5876380aaadc9006  0001 0000000000000000  0001 50a032b29a728086  0001 0000000000000000  0001 4e203a949a0384e2  0001 0000000000000000  0001 502e307caae49054  0001 0000000000000000  0001 4a883ac8a88a964c  0001 0000000000000000  0001 50c4400698589636  0001 0000000000000000  0001 4a2c361a98628aba  0001 0000000000000000  0001 56cc30bc980d8a10  0001 0000000000000000  0001 4e7c30d89cd080b0  0001 0000000000000000  0001 48a046c4a4ac9672  0001 0000000000000000  0001 505034baae6e9072  0001 0000000000000000  0001 48723024a8248ac8  0001 0000000000000000  0001 565e446ea2c08620  0001 0000000000000000  0001 4e4a424ca6e49602  0001 0000000000000000  0001 48883cb4a49e88d6  0001 0000000000000000  0001 4c4c38a8a4228298  0001 0000000000000000  0001 4ece3a1ea6a49458  0001 0000000000000000  0001 50ec44039e78800e  0001 0000000000000000  0001 569e3a78a2a68e54  0001 0000000000000000  0001 4a2436aaaa7e8286  0001 0000000000000000  0001 541842daa60092be  0001 0000000000000000  0001 4a14464ea23090ae  0001 0000000000000000  0001 52be36c8a212941e  0001 0000000000000000  0001 5ea836aeaa1084e2  0001 0000000000000000  0001 58d238749ec294de  0001 0000000000000000  0001 54b24260a6e28e0d  0001 0000000000000000  0001 50e8348ea2d09672  0001 0000000000000000  0001 5e6e3aa6a86a88ce  0001 0000000000000000  0001 58b83042aa888438  0001 0000000000000000
Frame 0454    0001 301820be90608048  0001 0000000000000000  0001 324a20ce90168058  0001 0000000000000000  0001 36c022e8909086ea  0001 0000000000000000  0001 32b820e6929a808c  0001 0000000000000000  0001 32b2243094078614  0001 0000000000000000  0001 36382298947084ee  0001 0000000000000000  0001 36de260394a284a0  0001 0000000000000000  0001 3240227c963286b2  0001 0000000000000000  0001 365620b8922a84b0  0001 0000000000000000  0001 3088243c96268696  0001 0000000000000000  0001 320c24ea90b482b6  0001 0000000000000000  0001 303426c4922a808e  0001 0000000000000000  0001 3442260294078438  0001 0000000000000000  0001 34d82440906a80ca  0001 0000000000000000  0001 36d822e090be825e  0001 0000000000000000  0001 363026cc94b88609  0001 0000000000000000  0001 347a2634949a8409  0001 0000000000000000  0001 34de2672907a80b0  0001 0000000000000000  0001 3060268890ba847c  0001 0000000000000000  0001 300f26e692c684e2  0001 0000000000000000  0001 300b201094108236  0001 0000000000000000  0001 3628260c9094824c  0001 0000000000000000  0001 32e4220f928080a4  0001 0000000000000000  0001 34ea26709646823e  0001 0000000000000000  0001 328024e0908e807c  0001 0000000000000000  0001 367a2620960982ba  0001 0000000000000000  0001 360320b2962c86d8  0001 0000000000000000  0001 36ae2028963c843c  0001 0000000000000000  0001 3496203890bc8644  0001 0000000000000000  0001 30a0222c90a084a8  0001 0000000000000000  0001 366e26e096ee86ce  0001 0000000000000000  0001 34d22002966c8018  0001 0000000000000000  0001 3642240a9203868a  0001 0000000000000000  0001 343a264a90c28660  0001 0000000000000000  0001 348c248890be8280  0001 0000000000000000  0001 346c243a942284ac  0001 0000000000000000  0001 346e24949090823e  0001 0000000000000000  0001 34c626d490268634  0001 0000000000000000  0001 36ce209e94ca80da  0001 0000000000000000  0001 367a227a94ca82c2  0001 0000000000000000  0001 3448223692508640  0001 0000000000000000  0001 32522404924880e0  0001 0000000000000000  0001 320524ca96dc84c6  0001 0000000000000000  0001 3096266092d88604  0001 0000000000000000  0001 36e6260890a4840d  0001 0000000000000000  0001 36222028904e8001  0001 0000000000000000  0001 3662260d9088841c  0001 0000000000000000  0001 36182614967a849a  0001 0000000000000000  0001 341c262a900284c8  0001 0000000000000000  0001 32d62401924e8007  0001 0000000000000000  0001 36cc24bc90d68206  0001 0000000000000000  0001 3642227c90168016  0001 0000000000000000  0001 308420729414804e  0001 0000000000000000  0001 3442249696b686a0  0001 0000000000000000  0001 30e8200e92848607  0001 0000000000000000  0001 34e8206690b28605  0001 0000000000000000  0001 365a224a94e48284  0001 0000000000000000  0001 36d024dc92408205  0001 0000000000000000  0001 32922008904c8200  0001 0000000000000000  0001 36d4268c94a28244  0001 0000000000000000
Frame 0455    0001 00004c45a376869a  0001 0000000000000000  0001 000052c6a0128535  0001 0000000000000000  0001 00005505aec78f1a  0001 0000000000000000  0001 00005728b36386aa  0001 0000000000000000  0001 000051eab93b957a  0001 0000000000000000  0001 00005e76aedc86af  0001 0000000000000000  0001 00005971bdf59165  0001 0000000000000000  0001 00004585a3cb8910  0001 0000000000000000  0001 0000520ab5499c1e  0001 0000000000000000  0001 00004af4a97f83e1  0001 0000000000000000  0001 000043a5b5948e34  0001 0000000000000000  0001 00004338aeca88b9  0001 0000000000000000  0001 00005d92b74d9a7a  0001 0000000000000000  0001 00004b5cab718923  0001 0000000000000000  0001 0000475fb8a883f5  0001 0000000000000000  0001 00005794b3b79cc8  0001 0000000000000000  0001 00004ec6b20f9f5b  0001 0000000000000000  0001 00004bcfb7bf9966  0001 0000000000000000  0001 00004930b1e29084  0001 0000000000000000  0001 0000580ab2279e29  0001 0000000000000000  0001 00005c3abdc38bf0  0001 0000000000000000  0001 00004204b3db89f6  0001 0000000000000000  0001 00004ee0a00f990b  0001 0000000000000000  0001 00004a1ab7429f80  0001 0000000000000000  0001 00004ac9b0c39035  0001 0000000000000000  0001 00005acaabe49038  0001 0000000000000000  0001 00005262a5638c1f  0001 0000000000000000  0001 000051a9b0808284  0001 0000000000000000  0001 00004f95afcc9b8b  0001 0000000000000000  0001 00004286bf8b884a  0001 0000000000000000  0001 00005863a705921b  0001 0000000000000000  0001 00004679a9cf89e6  0001 0000000000000000  0001 00005895af168c72  0001 0000000000000000  0001 00005f1da6fd8c54  0001 0000000000000000  0001 00005204b637900a  0001 0000000000000000  0001 00004dd0aa1c8efe  0001 0000000000000000  0001 000048cea6fc874c  0001 0000000000000000  0001 000056f8a5be8bf6  0001 0000000000000000  0001 00005cd7ac3e8624  0001 0000000000000000  0001 0000470aa9348fc0  0001 0000000000000000  0001 000048dbac7d88b0  0001 0000000000000000  0001 00004471a704925a  0001 0000000000000000  0001 00005d53a4009865  0001 0000000000000000  0001 000058d0a7b0814e  0001 0000000000000000  0001 000048e0af0f9bba  0001 0000000000000000  0001 00005f59b6449669  0001 0000000000000000  0001 00004268ae80862a  0001 0000000000000000  0001 00005604aa478bfa  0001 0000000000000000  0001 00005ae4b6e982ab  0001 0000000000000000  0001 0000420bad3f8c41  0001 0000000000000000  0001 00004365b9b0945a  0001 0000000000000000  0001 0000543dad699ef6  0001 0000000000000000  0001 000059e1ac718031  0001 0000000000000000  0001 00005045ae628785  0001 0000000000000000  0001 0000414eb7108bbc  0001 0000000000000000  0001 0000465fb3a093a6  0001 0000000000000000  0001 000056a4a6a8929f  0001 0000000000000000  0001 00004787a19d957d  0001 0000000000000000  0001 000054c0b0de843c  0001 0000000000000000  0001 00005b2eb10e8789  0001 0000000000000000
Frame 0456    0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000
Frame 0457    0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000
Frame 0458    0001 24e81c128ea0881a  0001 80004673ba35810b  0001 264e1884928a888e  0001 80005f2ab7139696  0001 24e8189e90e08838  0001 8000428cbf4899a2  0001 1e0816d28e8e865a  0001 80005033b63192ce  0001 249c14889058889c  0001 800043a2b95f86ce  0001 1eba18c8905086e4  0001 80005e1aba9288f9  0001 2076180092be8005  0001 800053d6b0209f3a  0001 226a168a8aea826a  0001 80005f60a92497e2  0001 1e3218108c0780ce  0001 80005532bf768036  0001 201816188a5e8288  0001 8000433cbcf38877  0001 269e180d8ccc8874  0001 80005bc6a9d49498  0001 221814508e9284d8  0001 80005867becf95bc  0001 22b8160f8c9a8028  0001 80004691aab08719  0001 22941474920588d4  0001 8000523eae309afa  0001 22621adc90c88256  0001 80005212bb28999b  0001 22c41c62925a802e  0001 800049c5a2248edc  0001 267814d292748024  0001 80004411a61497bf  0001 267616c68c188026  0001 800044c6b5e99e1f  0001 1eda1ac28eb6860b  0001 800055dda1738086  0001 2452143e8e9c8003  0001 800054a9a1f19e38  0001 26ea18328e80806a  0001 80005964ae318985  0001 229a184290728608  0001 80004aa4a1d8820d  0001 24521c5a92d28002  0001 80005304a51a9286  0001 208c1a1c8e24824e  0001 80005ff5a8b287d7  0001 207c1c568ce480d8  0001 80005c5da75c9321  0001 22ba140b92428406  0001 80004204b45d9c6c  0001 22a218368aa28412  0001 80005202a333963c  0001 205c160b8e038608  0001 80005905b62a855b  0001 24011a6e8c22847e  0001 8000566fa2fc9649  0001 1eac1c488aa08498  0001 8000502ead009a41  0001 22321cb4906e8696  0001 800051c0bddd95ac  0001 1eec14da920680ba  0001 800059e5a3fc90e7  0001 1ea0182492c486c2  0001 800043aca3828866  0001 1e421c4a920984ca  0001 80005a01baba9f9e  0001 22741c568a5a8016  0001 80005cf5b3e88b38  0001 20e41a038ca28048  0001 800042d3ac8f8427  0001 20d6148692ea844c  0001 8000415ba49b87c1  0001 208214c28e62849a  0001 8000505ea9fb9e79  0001 260c169a8e768660  0001 80005a1daba59489  0001 22b21c348eee8082  0001 80004f98ae1a9a3a  0001 26b414c88c8e8266  0001 80004eceaa9397a1  0001 1e6c161c8e2e8486  0001 80004e48a8cb938d  0001 20d01c7e8e76889e  0001 800047cda335926b  0001 225a18968e74860c  0001 800051b0a0f79825  0001 1ece14e2921282ae  0001 80004565b9cc818e  0001 2218147492088032  0001 8000500ca7d09ca7  0001 1e1218b48ca088cc  0001 80005431b8fa8b70  0001 1ecc1a90904a88d6  0001 800048c9be9f9013  0001 20e01c7e92da867a  0001 800058a6ab3a87fd  0001 26de14908aca8298  0001 80005b5da45e98ec  0001 1e20169890aa8224  0001 800050fbadd998ed  0001 26ce14048a3682d2  0001 800056cba16799b6  0001 266e16408a028806  0001 80005908a659843f  0001 26ae1aac8ce4880a  0001 8000529ea8b39256  0001 202a18c68e7c845c  0001 80005d8db7fd9630  0001 209016528e2a822c  0001 8000573ea8708e8c  0001 208e14d8922486b0  0001 80005d63b8358dd6  0001 20881ce492c28288  0001 8000423cb7df94fe  0001 1e241686908a887a  0001 8000461da8038abd  0001 265e1c188c8a8452  0001 80004e79a15c901f
Frame 0459    0001 4c8a3c3c34203076  0001 0000000000000000  0001 4ac040583abe2800  0001 0000000000000000  0001 465c401a3638300c  0001 0000000000000000  0001 4a54400d386a2c62  0001 0000000000000000  0001 4a3640e6340e2ce8  0001 0000000000000000  0001 4c523ed638a82e2a  0001 0000000000000000  0001 4aac44da382c2a98  0001 0000000000000000  0001 4a363ca6348a2852  0001 0000000000000000  0001 4ad640013a9c3076  0001 0000000000000000  0001 4c7c42e6369e285e  0001 0000000000000000  0001 463c3ebe3a2c2812  0001 0000000000000000  0001 4ad8446a3a062c40  0001 0000000000000000  0001 46343c0a36d628ca  0001 0000000000000000  0001 462a3e0f3a4c302c  0001 0000000000000000  0001 4a323cc83a502e07  0001 0000000000000000  0001 488040343aae2a09  0001 0000000000000000  0001 4ee0409238603076  0001 0000000000000000  0001 4894420632162c2a  0001 0000000000000000  0001 46a0425432ea2c80  0001 0000000000000000  0001 4a58420c32a0280b  0001 0000000000000000  0001 4c443c3a32202856  0001 0000000000000000  0001 4c5a448236ea2856  0001 0000000000000000  0001 4ab4404a3a0c2c68  0001 0000000000000000  0001 4a8e445234d82874  0001 0000000000000000  0001 4a364220324e2c14  0001 0000000000000000  0001 4892428e329e2e3c  0001 0000000000000000  0001 483844dc3ab22c58  0001 0000000000000000  0001 46ce40dc384a3084  0001 0000000000000000  0001 480844463a502c0a  0001 0000000000000000  0001 4ece3e3a38be2ace  0001 0000000000000000  0001 46a840383a922a7e  0001 0000000000000000  0001 468c42c23aa02e7e  0001 0000000000000000  0001 4a50420132c2288e  0001 0000000000000000  0001 4c6c42aa36de308a  0001 0000000000000000  0001 48123cb6389c3072  0001 0000000000000000  0001 48ca3e7a38082c9c  0001 0000000000000000  0001 4e9c421634502ec6  0001 0000000000000000  0001 46ac40da369e2cbe  0001 0000000000000000  0001 4c54423c34462c52  0001 0000000000000000  0001 460a448a322e2a4e  0001 0000000000000000  0001 4806446438e42a82  0001 0000000000000000  0001 4626440f38da2e09  0001 0000000000000000  0001 48963caa34302c5c  0001 0000000000000000  0001 48bc3ee438d42cea  0001 0000000000000000  0001 4ad0443a367e302e  0001 0000000000000000  0001 4e963ce6360c30c6  0001 0000000000000000  0001 4a3444a036622cba  0001 0000000000000000  0001 4e9c40da38922e7c  0001 0000000000000000  0001 4a1c42b63ad430ce  0001 0000000000000000  0001 46603c5a387a2e38  0001 0000000000000000  0001 4e4c442c347c28a8  0001 0000000000000000  0001 4e72408e36c4280c  0001 0000000000000000  0001 48423c70329c2c20  0001 0000000000000000  0001 4a01424e321228d8  0001 0000000000000000  0001 4aa64428365028d2  0001 0000000000000000  0001 46183cd03ada2a6e  0001 0000000000000000  0001 468c441c385a2a07  0001 0000000000000000  0001 487442de34ae3010  0001 0000000000000000  0001 4c3c3ebe32ae2832  0001 0000000000000000  0001 4e6a44c4349a2a58  0001 0000000000000000
Frame 0460    0001 000000000000500f  0001 0000000000000000  0001 0000000000005096  0001 0000000000000000  0001 0000000000005658  0001 0000000000000000  0001 0000000000005828  0001 0000000000000000  0001 0000000000005042  0001 0000000000000000  0001 000000000000507e  0001 0000000000000000  0001 00000000000052e4  0001 0000000000000000  0001 000000000000548a  0001 0000000000000000  0001 0000000000005200  0001 0000000000000000  0001 00000000000056c0  0001 0000000000000000  0001 00000000000058a4  0001 0000000000000000  0001 0000000000005874  0001 0000000000000000  0001 0000000000005282  0001 0000000000000000  0001 00000000000056b8  0001 0000000000000000  0001 000000000000506e  0001 0000000000000000  0001 00000000000052a6  0001 0000000000000000  0001 000000000000500b  0001 0000000000000000  0001 0000000000005018  0001 0000000000000000  0001 000000000000581e  0001 0000000000000000  0001 0000000000005018  0001 0000000000000000  0001 0000000000005803  0001 0000000000000000  0001 00000000000050e6  0001 0000000000000000  0001 0000000000005834  0001 0000000000000000  0001 00000000000056ae  0001 0000000000000000  0001 0000000000005228  0001 0000000000000000  0001 000000000000562e  0001 0000000000000000  0001 0000000000005202  0001 0000000000000000  0001 00000000000054c0  0001 0000000000000000  0001 0000000000005008  0001 0000000000000000  0001 00000000000052da  0001 0000000000000000  0001 00000000000052d6  0001 0000000000000000  0001 0000000000005209  0001 0000000000000000  0001 000000000000563a  0001 0000000000000000  0001 000000000000503e  0001 0000000000000000  0001 0000000000005646  0001 0000000000000000  0001 0000000000005484  0001 0000000000000000  0001 000000000000587a  0001 0000000000000000  0001 00000000000058d6  0001 0000000000000000  0001 0000000000005072  0001 0000000000000000  0001 0000000000005072  0001 0000000000000000  0001 00000000000054d8  0001 0000000000000000  0001 00000000000052de  0001 0000000000000000  0001 0000000000005830  0001 0000000000000000  0001 0000000000005846  0001 0000000000000000  0001 00000000000050a2  0001 0000000000000000  0001 0000000000005402  0001 0000000000000000  0001 0000000000005400  0001 0000000000000000  0001 00000000000056d4  0001 0000000000000000  0001 0000000000005650  0001 0000000000000000  0001 0000000000005854  0001 0000000000000000  0001 0000000000005294  0001 0000000000000000  0001 0000000000005808  0001 0000000000000000  0001 0000000000005096  0001 0000000000000000  0001 0000000000005044  0001 0000000000000000  0001 0000000000005092  0001 0000000000000000  0001 00000000000054ee  0001 0000000000000000  0001 000000000000544a  0001 0000000000000000  0001 00000000000052b4  0001 0000000000000000  0001 00000000000054da  0001 0000000000000000  0001 00000000000052c8  0001 0000000000000000
